text,topic,relevant_to_model fit linear likelihood value,similarity_to_model fit linear likelihood value,relevant_to_model plot data response residuals,similarity_to_model plot data response residuals,relevant_to_data effects model random analysis,similarity_to_data effects model random analysis,relevant_to_data model tree linear regression,similarity_to_data model tree linear regression,relevant_to_model data test deviance log,similarity_to_model data test deviance log
"Computer-Aided Multivariate Analysis, Fourth Edition  
A.A.Afifi and V.A.Clark 
A Course in Categorical Data Analysis  
T.Leonard 
A Course in Large Sample Theory  
T.S.Ferguson 
Data Driven Statistical Methods  
P.Sprent 
Decision Analysis—A Bayesian Approach  
J.Q.Smith 
Elementary Applications of Prob ability Theory, Second Edition  
H.C.Tuckwell 
Elements of Simulation  
B.J.T.Morgan 
Epidemiology—Study Design and Data Analysis, Second Edition  
M.Woodward 
Essential Statistics, Fourth Edition  
D.A.G.Rees 
Extending the Linear Model with R: Generalized Linear, Mixed Effects and 
Nonparametric Regression Models  
Julian J.Faraway 
A First Course in Linear Model Theory  
Nalini Ravishanker and Dipak K.Dey 
Interpreting Data—A First Course in Statistics  
A.J.B.Anderson 
An Introduction to Generalized Linear Models, Second Edition  
A.J.Dobson 
Introduction to Multivariate Analysis  
C.Chatfield and A.J.Collins 
Introduction to Optimization Methods and Their Applications in Statistics  
B.S.Everitt",3,False,0.20422989,False,0.18036671,True,0.42609677,False,0.28988725,False,0.21121499
"Large Sample Methods in Statistics  
P.K.Sen and J.da Motta Singer 
Linear Models with R  
Julian J.Faraway 
Markov Chain Monte Carl o—Stochastic Simulation  for Bayesian Inference  
D.Gamerman 
Mathematical Statistics  
K.Knight 
Modeling and Analysis of Stochastic Systems  
V.Kulkarni 
Modelling Binary Data, Second Edition  
D.Collett 
Modelling Survival Data in Medical Research, Second Edition  
D.Collett 
Multivariate Analysis of Variance and Repeated Measures—A Practical Approach 
for Behavioural Scientists  
D.J.Hand and C.C.Taylor 
Multivariate Statistics—A Practical Approach  
B.Flury and H.Riedwyl 
Practical Data Analysis for Designed Experiments  
B.S.Yandell 
Practical Longitudinal Data Analysis  
D.J.Hand and M.Crowder 
Practical Statistics for Medical Research  
D.G.Altman 
Probability—Methods and Measurement  
A.O’Hagan 
Problem Solving—A Statistician’s Guide, Second Edition  
C.Chatfield 
Randomization, Bootstrap and Monte Carlo Methods in Biology, Second Edition  
B.F.J.Manly",3,False,0.14661212,False,0.11145212,True,0.3909265,False,0.1620723,False,0.1461057
"The Theory of Linear Models  
B.Jørgensen 
Texts in Statistical Science",4,False,0.25243723,False,0.18292195,True,0.34494457,True,0.31112993,False,0.1319501
"Extending the Linear Model with 
R 
Generalized Linear, Mixed Effect s and Nonparametric Regression 
Models  
Julian J.Faraway 
 
 
 
 
 
 
 
 
 
Boca Raton London New York",2,False,0.26046214,True,0.34852564,True,0.46362743,True,0.34693158,False,0.16342553
"Preface  
Linear models are central to th e practice of statistics. They ar e part of the core knowledge 
expected of any applied statistician. Linear models are the foundation of a broad range of 
statistical methodologies; this book is a survey of techniques that grow from a linear model. Our starting point is the regression model with response y and predictors x
1,…xp. 
The model takes the form: 
y=β0+β1x1+…+βpxp+ε   
where ε is normally distributed. This book presents three extensions to this framework. 
The first generalizes the y part; the second, the ε part; and the third, the x part of the linear 
model. 
Generalized Linear Models:  The standard linear model cannot handle nonnormal 
responses, y, such as counts or proportions. This motivates the development of 
generalized linear models that can represent cat egorical, binary and other response types. 
Mixed Effect Models:  Some data has a grouped, nested  or hierarchical structure. 
Repeated measures, longitudinal and multilevel data consist of several observations taken on the same individual or group. This indu ces a correlation stru cture in the error, ε. 
Mixed effect models allow the modeling of such data. 
Nonparametric Regression Models:  In the linear model, the predictors, x, are 
combined in a linear way to model the effect on the response. Sometimes this linearity is 
insufficient to capture the structure of the data and more flexibility is required. Methods 
such as additive models, trees and neural networks allow a more flexible regression modeling of the response that combine th e predictors in a nonparametric manner. 
This book aims to provide the reader with a well-stocked toolbox of statistical 
methodologies. A practicing statistician needs to  be aware of and familiar with the basic 
use of a broad range of ideas and techniques. This book will be a succe ss if the reader is 
able to recognize and get started on a wide range of problems. However, the breadth 
comes at the expense of some depth. Fortunately, there are book-length treatments of topics discussed in every chapter of this book, so the reader will know where to go next if 
needed. 
R is a free software environment for statisti cal computing and grap hics. It runs on a 
wide variety of platforms including the Windows, Linux and Macintosh operating 
systems. Although there are se veral excellent statistical packages, only R is both free and 
possesses the power to perform the analyses demonstrated in this book. While it is 
possible in principle to learn statistical me thods from purely theoretical expositions, I 
believe most readers learn best from the dem onstrated interplay of theory and practice. 
The data analysis of real examples is woven into this book and all the R commands 
necessary to reproduce th e analyses are provided. 
Prerequisites:  Readers should possess some knowledge of linear models. The first 
chapter provides a review of these models. This book can be viewed as a sequel to Linear",3,False,0.25434062,True,0.3383819,True,0.55314124,True,0.4012224,False,0.22839594
"Contents  
  
   Preface    ix 
  
1   Introduction    1 
2   Binomial Data    28 
3   Count Regression    61 
4   Contingency Tables    76 
5   Multinomial Data    106 
6   Generalized Linear Models    126 
7   Other GLMs    149 
8   Random Effects    169 
9   Repeated Measures and Longitudinal Data    203 
10   Mixed Effect Models for Nonnormal Responses    221 
11   Nonparametric Regression    232 
12   Additive Models    254 
13   Trees    278 
14   Neural Networks    296 
  
A   Likelihood Theory    307 
B   R Information    316 
   Bibliography    318 
   Index    324",3,False,0.1707263,False,0.1935222,True,0.42441615,False,0.29137468,False,0.22262836
"CHAPTER 1  
Introduction  
This book is about extending the linear model methodology using R statistical software. 
Before setting off on this journey, it is worth reviewing both linear models and R. We 
shall not attempt a detailed description of linear  models; the reader is advised to consult 
texts such as Faraway (2004), Draper and Smith (1998) or Weisberg (2005). However, 
we will review the main points. Also, we do not intend this as a self-contained 
introduction to R as this may be found in books such as Dalgaard (2002) or Maindonald 
and Braun (2003) or from guides obtainable from the R website. Even so, a reader unfamiliar with R should be able to follow the analysis to follow and learn a little R in the 
process without further preparation. 
Let’s consider an example. The 2000 Unit ed States Presidential election generated 
much controversy, particularly in the state of Florida where there were some difficulties 
with the voting machinery. In Meyer (2002), data on voting in the state of Georgia is 
presented and analyzed. Let’s take a look at th is data using R. Please refer to Appendix B 
for details on obtaining and installing R along with the necessary addon packages and data for running the examples in this te xt. R commands are typed at the command 
prompt: >. We start by loading the package of datasets that are used in this book: 
> library(faraway) 
Please remember that every time you want to  access a dataset specific to this book, you 
will need to type the library (faraway) command. Since you might start a new session at any point in this book, in future we will simply assume that you type this first. If you 
forget, you will receive an er ror message notifying you that the data could not be found. 
Next we load the dataset with the Georgia voting information: 
> data(gavote) 
The data command loads the particular dataset into R. In R, the object containing the data 
is called a dataframe . In most installations of R, this data step will be unnecessary as the 
datasets will be silently accessed using a process called lazy loading . However, we will 
retain this command throughout this book as a marker to indicate that we intend to use a particular dataset in R. Ra ther than typing the comman d, you might regard it as a 
reminder to consult the help page for the dataset. We can obtain definitions of the 
variables and more information about the dataset using the help command: 
> help(gavote)",4,False,0.11825979,False,0.21606863,False,0.29335767,True,0.3065406,False,0.14967892
"and what is observed. ε may include measurement error although it is often due to the 
effect of unincluded or unmeasured variables. 
The regression equation is more conveniently written as:  
y=Xβ+ε   
where, in terms of then data points, y=(y1,…, yn)T, ε=(ε1,…, εn)T, β=(β0,…, βp−1)T and: 
   
The column of ones incorpor ates the intercept term. The least squares  estimate of β, 
called 
 minimizes: 
   
Differentiating with respect to β and setting to zero, we find that 
 satisfies: 
   
These are called the normal equations . 
Fitting a linear model:  Linear models in R are fit using the 1m command. For 
example, suppose we model the undercount as the response and the proportions of Gore 
voters and African Americans as predictors: 
> lmod <- 1m(undercount ~ pergore+perAA, gavote) 
This corresponds to the linear model formula: 
undercount= β0+β1pergore+β2perAA+ε   
R uses the Wilkinson-Rogers  notation of Wilkinson and Rogers (1973). For a straight-
forward linear model, such as here, we see that it corresponds to just dropping the 
parameters from the mathematical form. The intercept is included by default. 
We can obtain the least squares estimates of β, called the regression coefficients, 
 by: 
> coef(lmod) 
(Intercept)  pergore    perAA 
   0.032376 0.010979 0.028533 
The construction of the least squares estimates do not require any assumptions about ε. If 
we are prepared to assume that the errors  are at least independent and have equal 
variance, then the Gauss-Markov  theorem tells us that the least squares estimates are the 
best linear unbiased estimates. Although it is not necessary, we might further assume that 
the errors are normally distributed, we might compute the maximum likelihood estimate Extending the linear model with R     8",1,True,0.32270294,False,0.23107073,False,0.23406379,False,0.25668782,False,0.12111543
"(MLE) of β (see Appendix A for more MLEs). For the linear models, these MLEs are 
identical with the least squares estimates. However, we shall find that, in some of the 
extension of linear models considered later in this book, an equivalent notion to least 
squares is not suitable and that likelihood methods must be used. This issue does not arise with the standard linear model. 
The predicted or fitted values are 
while the residuals are 
We can compute these as: 
> predict (lmod) 
  APPLING ATKINSON    BACON    BAKER  BALDWIN    BANKS 
0.041337 0.043291 0.039618 0.052412 0.047955 0.036016 
...  
> residuals(lmod) 
    APPLING   ATKINSON     BACON     BAKER   BALDWIN 
  0.0369466 -0.0069949 0.0655506 0.0023484 0.0035899 
... 
where the ellipsis indicates that (much of) the output has been omitted. 
It is useful to have some notion of how well the model fits the data. The residual sum 
of squares (RSS) is 
 This can be computed as: 
> deviance(lmod) 
[1] 0.09325 
The term deviance  is a more general measure of fit than RSS, which we will meet again 
in chapters to follow. For linear models, the deviance is the RSS. 
The degrees of freedom  for a linear model is the number of cases minus the number of 
coefficients or: 
> df.residual(lmod) 
[1] 156 
> nrow(gavote) - length(coef(lmod)) 
[1] 156 
Let the variance of the error be σ2, then σ is estimated by the residual standard error 
computed from 
 For our example, this works out to be: 
> sqrt (deviance (lmod) / df.residual (lmod)) 
[1] 0.024449 
Although several useful regression quantities ar e stored in the 1m model object (which 
we called lmod in this instance), we can compute several more using the summary 
command on the model object. For example: 
> lmodsum <- summary(lmod) 
> lmodsum$sigma Introduction     9",4,True,0.47712913,True,0.43247408,False,0.16390258,True,0.38334343,False,0.28254977
"[1] 0.024449 
R is an object-oriented language. One important feature of such a language is that generic  
functions, such as summary, recognize the type of object being passed to it and behave appropriately. We used summary for dataframes above and now for linear models, 
residuals is another generic function and we shall see how it can be applied to many 
model types and return appropriately defined residuals. 
The deviance measures how well the model fits in an absolute sense, but it does not 
tell us how well the model fits in a re lative sense. The popular choice is R
2, called the 
coefficient of determination  or percentage of variance explained : 
   
where 
 and stands for total sum of squares. This can be most 
conveniently extracted as: 
> lmodsum$r.squared 
[1] 0.053089 
We see that R2 is only about 5% which indicates that this particular model does not fit so 
well. An appreciation of what constitutes a good value of R2 varies according to the 
application. Another way to think of R2 is the (squared) correla tion between the predicted 
values and the response: 
> cor (predict(lmod), gavote$undercount) ^2 
[1] 0.053089 
R2 suffers as a criterion for choosing models among those available because it can never 
decrease when you add a new predictor to the model. This means that it will favor the 
largest models. The adjusted R2 makes allowance for the fact  a larger model also uses 
more parameters. It is defined as: 
   
Adding a predictor will only increase 
 if it has some predictive value. Furthermore, 
minimizing 
 means maximizing 
 over a set of possible linear models. The value can 
be extracted as: 
> lmodsum$adj.r.squared 
[1] 0.040949 
One advantage of R over many statistical p ackages is that we can extract all these 
quantities individually for subsequent calculati ons in a convenient way. However, if we 
simply want to see the regression output prin ted in a readable way, we use the summary: Extending the linear model with R     10",0,False,0.24975851,True,0.42210582,False,0.227741,False,0.25319666,True,0.31548938
